,Gene.stable.ID,HGNC.symbol
926,ENSG00000253305,PCDHGB6
927,ENSG00000214297,ALDOAP2
928,ENSG00000229931,ATXN1-AS1
930,ENSG00000178997,EXD1
931,ENSG00000225453,PTMAP1
932,ENSG00000237675,TEX36-AS1
933,ENSG00000219797,PPIAP9
934,ENSG00000240184,PCDHGC3
935,ENSG00000124788,ATXN1
936,ENSG00000223752,ATAT1
937,ENSG00000223747,C4B-AS1
938,ENSG00000225499,RPL15P4
939,ENSG00000136295,TTYH3
940,ENSG00000241755,IGKV1-9
941,ENSG00000224402,OR6D1P
943,ENSG00000277833,KIR2DL1
944,ENSG00000137285,TUBB2B
945,ENSG00000175018,TEX36
946,ENSG00000205944,DAZ2
947,ENSG00000272150,NBPF25P
949,ENSG00000232649,MCCD1P1
950,ENSG00000237098,HLA-T
951,ENSG00000070886,EPHA8
952,ENSG00000232122,HCG4P8
953,ENSG00000259832,CYP4A26P
954,ENSG00000227715,HLA-A
955,ENSG00000261196,CYP4A43P
956,ENSG00000109991,P2RX3
957,ENSG00000261593,CYP4A27P
958,ENSG00000185303,SFTPA2
959,ENSG00000234814,SVIL2P
963,ENSG00000165644,COMTD1
964,ENSG00000134138,MEIS2
965,ENSG00000262845,KRT40
966,ENSG00000275970,FCAR
967,ENSG00000137266,SLC22A23
968,ENSG00000253278,IGKV2-10
969,ENSG00000241351,IGKV3-11
972,ENSG00000230720,LINC02644
974,ENSG00000225553,PHF1
976,ENSG00000081386,ZNF510
978,ENSG00000269821,KCNQ1OT1
979,ENSG00000274166,GOLGA6L10
980,ENSG00000184408,KCND2
981,ENSG00000053918,KCNQ1
982,ENSG00000274402,KIR2DL3
983,ENSG00000175003,SLC22A1
984,ENSG00000140451,PIF1
985,ENSG00000189042,ZNF567
986,ENSG00000277429,SERF1B
987,ENSG00000179331,RAB39A
989,ENSG00000275351,KIR2DS4
992,ENSG00000113318,MSH3
993,ENSG00000230138,LINC02812
994,ENSG00000278606,KIR2DL4
995,ENSG00000105227,PRX
996,ENSG00000013374,NUB1
998,ENSG00000206557,TRIM71
999,ENSG00000236265,DDX39BP1
1000,ENSG00000247700,HLA-H
1001,ENSG00000253953,PCDHGB4
1003,ENSG00000166165,CKB
1004,ENSG00000092096,SLC22A17
1005,ENSG00000134046,MBD2
1006,ENSG00000219430,MBL3P
1007,ENSG00000237216,HLA-G
1008,ENSG00000253846,PCDHGA10
1009,ENSG00000142609,CFAP74
1011,ENSG00000235865,GSN-AS1
1013,ENSG00000188869,TMC3
1014,ENSG00000104964,TLE5
1016,ENSG00000169919,GUSB
1017,ENSG00000267041,ZNF850
1018,ENSG00000168003,SLC3A2
1019,ENSG00000028116,VRK2
1020,ENSG00000253485,PCDHGA5
1021,ENSG00000235015,GEMIN2P1
1023,ENSG00000197019,SERTAD1
1025,ENSG00000148180,GSN
1026,ENSG00000275444,DEFB4B
1028,ENSG00000253910,PCDHGB2
1030,ENSG00000282496,HSPD1P3
1031,ENSG00000173456,RNF26
1032,ENSG00000262576,PCDHGA4
1033,ENSG00000273641,DEFB103B
1034,ENSG00000274476,KIR2DP1
1036,ENSG00000277292,PIP4K2B
1039,ENSG00000275255,KIR3DP1
1040,ENSG00000109814,UGDH
1041,ENSG00000231292,IGKV1OR2-108
